Mary	/wiki/Mary_(1931_film)	1931	Alfred Hitchcock	Alfred Abel, Olga Tschechowa	Mystery/Thriller	The German-language version of Hitchcock's Murder!	UK
Men Like These	/wiki/Men_Like_These	1931	Walter Summers	Sydney Seaward, Syd Crossley	Adventure	NULL	UK
Michael and Mary	/wiki/Michael_and_Mary	1931	Victor Saville	Herbert Marshall, Edna Best	Drama	NULL	UK
Night in Montmartre	/wiki/Night_in_Montmartre	1931	Leslie S. Hiscott	Horace Hodges, Franklin Dyall	Mystery	NULL	UK
The Old Man	/wiki/The_Old_Man_(1931_film)	1931	H. Manning Haynes	Maisie Gay, Anne Grey	Mystery	NULL	UK
Old Soldiers Never Die	/wiki/Old_Soldiers_Never_Die	1931	Monty Banks	Leslie Fuller, Max Nesbitt	Comedy	NULL	UK
The Outsider	/wiki/The_Outsider_(1931_film)	1931	Harry Lachman	Joan Barry, Norman McKinnel	Drama	NULL	UK
Plunder	/wiki/Plunder_(1931_film)	1931	Tom Walls	Ralph Lynn, Winifred Shotter	Comedy	NULL	UK
Poor Old Bill	/wiki/Poor_Old_Bill	1931	Monty Banks	Leslie Fuller, Iris Ashley	Comedy	NULL	UK
Potiphar's Wife	/wiki/Potiphar%27s_Wife_(1931_film)	1931	Maurice Elvey	Nora Swinburne, Laurence Olivier	Romance	NULL	UK
Rich and Strange	/wiki/Rich_and_Strange	1931	Alfred Hitchcock	Henry Kendall, Joan Barry	Drama	NULL	UK
The Ringer	/wiki/The_Ringer_(1931_film)	1931	Walter Forde	Patrick Curwen, Esmond Knight	Crime	NULL	UK
Rodney Steps In	/wiki/Rodney_Steps_In	1931	Guy Newall	Richard Cooper, Elizabeth Allan	Comedy	NULL	UK
The Rosary	/wiki/The_Rosary_(film)	1931	Guy Newall	Margot Grahame, Elizabeth Allan	Drama	NULL	UK
Sally in Our Alley	/wiki/Sally_in_Our_Alley_(1931_film)	1931	Maurice Elvey	Gracie Fields, Ian Hunter	Comedy Drama	NULL	UK
Shadows	/wiki/Shadows_(1931_film)	1931	Alexander Esway	Jacqueline Logan, Bernard Nedell	Crime	NULL	UK
